snp_candidate,libdem_vote,labour_share,ukip_vote,conservative_share,green_vote,green_swing,labour_vote,ukip_share,libdem_swing,constituency_code,conservative_candidate,ukip_swing,green_share,majority,ukip_candidate,conservative_swing,green_candidate,labour_candidate,conservative_vote,snp_swing,turnout,snp_share,snp_vote,libdem_share,libdem_candidate,labour_swing
,1346,29.1,8356,46.6,1013,2.2,13133,18.5,-15.2,E14000643,Martin Vickers,11.4,2.2,CON,Stephen Harness,4.5,Carol Thornton,Peter Keith,21026,,63.9,,,3.0,Roy Horobin,-3.4
,1374,37.7,7252,45.0,,,18825,14.5,-12.2,E14000653,Edward Timpson,11.8,,CON,Richard Lee,-0.9,,Adrian Heald,22445,,67.4,,,2.8,Roy Wood,3.7
,1339,33.6,6979,47.0,1100,1.0,16303,14.4,-11.6,E14000652,Henry Smith,11.5,2.3,CON,Chris Brown,2.3,Guy Hudson,Chris Oxlade,22829,,65.7,,,2.8,Sarah Osborne,1.3
,1919,62.6,2899,22.7,2515,2.7,33513,5.4,-10.4,E14000655,Vidhi Mohan,3.7,4.7,LAB,Winston McKenzie,-1.4,Shasha Khan,Steve Reed,12149,,62.3,,,3.6,Joanna Corbin,6.6
,1810,41.0,7101,31.0,1961,3.3,18557,15.7,-13.9,E14000650,Parvez Akhtar,12.9,4.3,LAB,Harjinder Sehmi,1.7,Laura Vesty,Geoffrey Robinson,14048,,60.7,,,4.0,Andrew Furse,-1.8
,3448,24.8,6068,54.5,2154,2.0,14308,10.5,-16.9,E14000656,Chris Philp,6.1,3.7,CON,Kathleen Garner,3.6,Peter Underwood,Emily Benn,31448,,70.4,,,6.0,Gill Hickson,4.8
,717,41.4,12850,24.4,806,1.2,17830,29.8,-6.9,E14000657,Julie Marson,26.3,1.9,LAB,Peter Harris,-10.0,Kate Simpson,Jon Cruddas,10492,,62.3,,,1.7,Denise Capstick,1.1
,1458,38.5,7708,42.8,1374,2.4,21611,13.7,-11.8,E14000648,Tom Pursglove,13.7,2.4,CON,Margot Parker,0.6,Jonathan Hornett,Andy Sawford,24023,,70.4,,,2.6,Peter Harris,-0.2
,1966,42.9,5392,35.2,1444,3.5,17637,13.1,-18.6,E14000658,Peter Cuthbertson,10.3,3.5,LAB,Dave Hodgson,3.7,Michael Cherrington,Jenny Chapman,14479,,62.5,,,4.8,Anne-Marie Curry,3.5
,1152,42.7,4810,43.0,1454,1.6,22588,9.1,-11.0,E14000654,Gavin Barwell,7.1,2.7,CON,Peter Staveley,3.6,Esther Sutton,Sarah Jones,22753,,67.7,,,2.2,James Fearnley,9.1
,957,50.8,7225,23.7,1466,3.8,19661,18.7,-15.4,E14000661,Lana Hempsall,13.2,3.8,LAB,Andrew Fairfoull,-1.2,Nick Koopman,Andrew Gwynne,9150,,58.1,,,2.5,Mark Jewell,-0.2
,2352,18.1,8296,58.2,1829,2.0,9491,15.8,-15.0,E14000660,Chris Heaton-Harris,11.3,3.5,CON,Michael Gerard,1.7,Steve Whiffen,Abigail Campbell,30550,,72.2,,,4.5,Callum Delhoy,2.3
,1454,25.4,10434,49.0,1324,2.5,13325,19.9,-11.9,E14000659,Gareth Johnson,16.2,2.5,CON,Elizabeth Jones,0.2,Andy Blatchford,Simon Thomson,25670,,68.4,,,2.8,Simon Beard,-2.1
,1717,49.0,6341,27.4,1208,3.0,20007,15.5,-16.3,E14000663,Evonne Williams,11.1,3.0,LAB,Victor Webb,-1.1,David Foster,Margaret Beckett,11179,,58.1,,,4.2,Joe Naitta,5.7
,3832,36.6,6532,36.7,1618,3.6,16361,14.6,-19.5,E14000662,Amanda Solloway,12.8,3.6,CON,Tilly Ward,5.0,Alice Mason-Power,Chris Williamson,16402,,69.1,,,8.6,Lucy Care,3.5
,3965,22.7,5508,52.4,2173,2.9,10761,11.6,-14.1,E14000664,Patrick McLoughlin,7.8,4.6,CON,John Young,0.3,Ian Wood,Andy Botham,24805,,74.6,,,8.4,Ben Fearn,3.4
,1487,46.2,9963,25.3,,,19621,23.5,-13.6,E14000667,Carl Jackson,19.1,,LAB,Guy Aston,-4.4,,Caroline Flint,10736,,59.6,,,3.5,Rene Paterson,8.2
,3954,13.0,7544,57.7,2853,4.1,6360,15.4,-18.9,E14000665,Claire Perry,10.9,5.8,CON,David Pollitt,2.7,Emma Dawnay,Chris Watts,28295,,70.8,,,8.1,Manda Rigby,2.8
,1717,49.1,9747,20.7,,,19840,24.1,-16.8,E14000668,Zoe Metcalfe,20.7,,LAB,Chris Hodgson,-4.0,,Rosie Winterton,8386,,56.8,,,4.2,John Brown,9.4
,1572,30.7,10177,43.3,1295,2.6,15443,20.3,-12.7,E14000670,Charlie Elphicke,16.8,2.6,CON,David Little,-0.7,Jolyon Trimingham,Clair Hawkins,21737,,68.9,,,3.1,Sarah Smith,-2.8
,1924,41.8,6649,39.1,1366,1.0,22406,12.4,-13.4,E14000666,Simon Reevell,12.4,2.5,LAB,Mark Thackray,4.1,Adrian Cruden,Paula Sherriff,20955,,67.2,,,3.6,Ednan Hussain,9.6
,828,32.6,7236,43.8,970,2.5,12453,18.9,-13.5,E14000672,Mike Wood,10.7,2.5,CON,Paul Brothwood,0.7,Vicky Duckworth,Natasha Millward,16723,,63.3,,,2.2,Martin Turner,-0.4
,478,41.8,9113,30.8,517,1.4,15885,24.0,-9.3,E14000671,Les Jones,15.5,1.4,LAB,Bill Etheridge,-6.2,Will Duckworth,Ian Austin,11704,,62.6,,,1.3,Mike Collins,3.2
,5055,54.1,1606,22.7,4844,6.8,27772,3.1,-17.3,E14000673,Resham Kotecha,1.7,9.4,LAB,Rathy Alagaratnam,0.5,Rashid Nix,Helen Hayes,11650,,68.3,,,9.8,James Barber,7.5
,1575,55.1,3922,29.7,1635,2.3,26745,8.1,-9.9,E14000675,Thomas O'Malley,6.6,3.4,LAB,Afzal Akram,-1.2,Meena Hans,Steve Pound,14419,,65.7,,,3.2,Kevin McNamara,4.7
,1005,52.4,8928,18.3,757,1.9,20708,22.6,-12.3,E14000669,Mark Fletcher,18.3,1.9,LAB,Kim Parkinson,-2.7,Pete Kennedy,Ed Miliband,7235,,55.7,,,2.5,Penny Baker,5.1
,834,61.0,6491,12.9,733,2.1,21132,18.7,-13.6,E14000677,Chris Hampsheir,14.1,2.1,LAB,Jonathan Arnott,-0.8,Martie Warin,Grahame Morris,4478,,56.1,,,2.4,Luke Armstrong,2.1
,3715,10.2,6870,46.4,,,5591,12.6,-24.4,E14000678,Hugo Swire,4.4,,CON,Andrew Chapman,-1.9,,Stephen Race,25401,,73.7,,,6.8,Stuart Mole,-0.6
,3106,43.2,1926,42.7,1841,2.1,22002,3.8,-21.5,E14000674,Angie Bray,2.2,3.6,LAB,Peter Florence,4.7,Tom Sharman,Rupa Huq,21728,,71.4,,,6.1,Jon Ball,13.1
,1550,65.0,1769,21.7,2007,3.0,28147,4.1,-11.4,E14000676,James Symes,4.1,4.6,LAB,John Poynton,-8.1,Jaspreet Mahal,Virendra Sharma,9387,,66.1,,,3.6,Kavya Kaushik,13.5
,856,77.6,2622,12.1,1299,1.3,40563,5.0,-10.0,E14000679,Samir Jassal,5.0,2.5,LAB,Daniel Oxley,-3.1,Tamsin Omond,Stephen Timms,6311,,59.8,,,1.6,David Thorpe,7.2
,5732,10.1,6187,60.7,3176,6.1,5220,12.0,-19.4,E14000680,Damian Hinds,9.1,6.1,CON,Peter Baillie,3.9,Peter Bisset,Alex Wilks,31334,,71.1,,,11.1,Richard Robinson,2.2
,5189,11.8,9553,57.4,2159,3.8,6627,17.0,-16.6,E14000681,Sam Gyimah,10.1,3.8,CON,Helena Windsor,0.7,Nicky Dodgson,Matt Wilson,32211,,70.4,,,9.2,David Lee,2.8
,3360,19.5,8267,49.5,2605,2.9,9737,16.6,-18.8,E14000682,Tim Loughton,10.4,5.2,CON,Mike Glennon,1.0,James Doyle,Tim Macpherson,24686,,67.2,,,6.7,Bob Smytherman,2.8
,897,61.4,3366,24.1,1358,2.0,25388,8.1,-8.4,E14000687,Gönül Daniels,5.6,3.3,LAB,Neville Watson,-5.7,Douglas Coker,Kate Osamor,9969,,62.6,,,2.2,David Schmitz,7.8
,1563,47.8,5594,34.3,990,2.1,22316,12.0,-11.7,E14000688,Katherine Fletcher,8.3,2.1,LAB,Jonathan Starkey,-0.5,Michelle Palmer,Justin Madders,16041,,68.6,,,3.3,Trish Derraugh,3.1
,2966,20.7,8955,50.6,1731,2.0,10343,17.9,-15.2,E14000683,Greg Knight,13.7,3.5,CON,Steph Todd,3.1,Mark Maloney,Kevin Hickson,25276,,61.7,,,5.9,Robert Adamson,0.4
,4289,23.6,5778,51.0,1624,3.4,11193,12.2,-13.4,E14000686,Antoinette Sandbach,8.0,3.4,CON,Rob Millington,-0.6,Andrew Garman,James Laing,24167,,69.0,,,9.1,Ian Priestner,2.1
,1308,42.6,6481,36.4,1275,2.0,18393,15.0,-9.6,E14000690,Spencer Drury,12.6,3.0,LAB,Peter Whittle,-1.2,James Parker,Clive Efford,15700,,67.4,,,3.0,Alexander Cunliffe,1.1
,2640,33.7,6430,48.4,1261,2.2,19488,11.1,-11.8,E14000689,Alec Shelbrooke,8.3,2.2,CON,Paul Spivey,5.8,Dave Brooks,Veronica King,27978,,73.0,,,4.6,Stewart Golton,-0.8
,20201,7.8,6139,39.6,1351,2.6,4143,11.6,-9.1,E14000684,Caroline Ansell,9.1,2.6,CON,Nigel Jones,-1.1,Andrew Durling,Jake Lambert,20934,,67.6,,,38.2,Stephen Lloyd,3.0
,14317,12.9,8783,42.3,1513,2.7,7181,15.8,-20.7,E14000685,Mims Davies,12.2,2.7,CON,Patricia Culligan,2.9,Ron Meldrum,Mark Latham,23464,,69.7,,,25.8,Mike Thornton,3.3
,1518,39.0,2109,49.4,1690,2.3,17871,4.6,-10.5,E14000692,David Burrowes,3.5,3.7,CON,David Schofield,-0.1,Jean Robertson-Molloy,Bambos Charalambous,22624,,70.5,,,3.3,Paul Smith,6.8
,3448,16.1,9049,54.8,1782,2.2,7962,18.3,-14.5,E14000693,Eleanor Laing,14.4,3.6,CON,Andrew Smith,0.8,Anna Widdup,Gareth Barrett,27027,,67.1,,,7.0,Jon Whitehouse,1.9
,1059,43.7,4133,41.4,1303,1.7,20172,9.0,-9.9,E14000691,Nick de Bois,6.8,2.8,LAB,Deborah Cairns,-0.9,David Flint,Joan Ryan,19086,,67.7,,,2.3,Cara Jenkinson,5.2
,5002,15.5,7117,58.3,2116,3.7,8866,12.5,-18.1,E14000694,Christopher Grayling,7.8,3.7,CON,Robert Leach,2.1,Susan McGrath,Sheila Carlson,33309,,72.7,,,8.8,Stephen Gee,3.6
,972,49.8,7368,27.4,941,1.4,21209,17.3,-9.8,E14000696,Anna Firth,14.6,2.2,LAB,Ronie Johnson,-4.0,Ann Garrett,Teresa Pearce,11684,,61.1,,,2.3,Simon Waddington,4.9
,5372,12.7,5551,62.9,2355,4.1,7229,9.7,-15.4,E14000697,Dominic Raab,6.5,4.1,CON,Nicholas Wood,4.0,Olivia Palmer,Francis Eldergill,35845,,71.3,,,9.4,Andrew Davis,2.0
,1658,35.3,7792,42.7,1184,1.3,17052,16.1,-14.1,E14000695,Maggie Throup,14.3,2.5,CON,Philip Rose,3.2,Ralph Hierons,Catherine Atkinson,20636,,67.2,,,3.4,Martin Garnett,1.1
,2321,46.4,5075,33.1,3491,4.9,25062,9.4,-16.0,E14000698,Dom Morris,5.7,6.5,LAB,Keith Crawford,0.1,Diana Moore,Ben Bradshaw,17879,,70.2,,,4.3,Joel Mason,8.2
,1579,52.3,6209,29.1,1390,1.7,25845,12.6,-10.6,E14000701,Simon Nayyar,10.5,2.8,LAB,Peter Dul,-4.9,Tony Firkins,Seema Malhotra,14382,,60.0,,,3.2,Roger Crouch,8.7
,1662,39.7,1732,50.9,1357,1.1,20173,3.4,-13.8,E14000703,Mike Freer,1.7,2.7,CON,Richard King,4.9,Adele Ward,Sarah Sackman,25835,,70.5,,,3.3,Jonathan Davies,6.1
,3039,16.2,8243,54.4,1768,2.0,7403,18.0,-13.0,E14000700,Helen Whately,14.3,3.9,CON,Peter Edwards-Daem,-1.8,Tim Valentine,Michael Desmond,24895,,65.9,,,6.6,David Naghi,-0.4
,4814,14.3,8427,56.1,2129,2.4,7800,15.4,-15.0,E14000699,Suella Fernandes,11.3,3.9,CON,Malcolm Jones,0.8,Miles Grindey,Stuart Rose,30689,,70.8,,,8.8,Matthew Winnington,0.1
,3581,26.6,7261,46.7,2257,3.7,13082,14.8,-18.0,E14000702,Jack Lopresti,11.7,4.6,CON,Ben Walker,5.9,Diana Warner,Ian Boulton,22920,,69.4,,,7.3,Pete Bruce,0.2
,4882,14.4,12526,47.9,2956,4.2,7939,22.8,-21.4,E14000704,Damian Collins,18.2,5.4,CON,Harriet Yeo,-1.6,Martin Whybrow,Claire Jeffrey,26323,,65.8,,,8.9,Lynne Beaumont,3.6
,2630,24.6,8792,46.8,2703,3.6,12204,17.8,-16.6,E14000705,Mark Harper,12.6,5.5,CON,Steve Stanbury,0.0,James Greenwood,Steve Parry-Hearn,23191,,70.9,,,5.3,Chris Coleman,0.5
,3290,21.3,7727,52.7,1290,2.6,10500,15.7,-21.2,E14000707,Edward Leigh,11.5,2.6,CON,John Saxon,3.4,Geoffrey Barnes,David Prescott,25949,,67.3,,,6.7,Lesley Rollings,5.7
,1623,18.8,5569,49.1,1381,1.7,8182,12.8,-18.3,E14000706,Mark Menzies,8.3,3.2,CON,Paul White,-3.1,Bob Dennett,Jed Sullivan,21406,,66.3,,,3.7,Freddie van Mierlo,-1.0
,2279,69.1,4482,13.7,1690,3.5,33839,9.2,-15.5,E14000708,Martin Williams,5.6,3.5,LAB,Carl Schears,-2.5,Will Ward,Maria Eagle,6693,,66.1,,,4.7,Anna Martin,9.6
,1707,25.6,9199,48.0,1133,1.6,12060,19.5,-14.5,E14000711,Rehman Chishti,16.3,2.4,CON,Mark Hanson,1.8,Neil Williams,Paul Clark,22590,,64.8,,,3.6,Paul Chaplin,-2.0
,2585,56.8,6765,14.5,1548,3.1,21549,17.8,-14.5,E14000709,Tom Smith,14.9,4.1,LAB,John Tennant,-0.4,Andy Redfern,Ian Mearns,5502,,59.4,,,6.8,Frank Hindle,2.6
,1906,42.3,6930,36.1,1534,3.2,20307,14.4,-11.3,E14000710,Carolyn Abbott,11.4,3.2,LAB,Lee Waters,-1.2,Jim Norris,Vernon Coaker,17321,,68.5,,,4.0,Robert Swift,1.2
,1111,30.1,9306,46.8,1124,0.8,15114,18.6,-11.1,E14000715,Adam Holloway,13.8,2.2,CON,Sean Marriott,-1.7,Mark Lindop,Tan Dhesi,23484,,67.5,,,2.2,Anne-Marie Bunting,1.3
,3263,16.9,9410,52.8,1872,3.5,9070,17.5,-16.1,E14000714,Nick Boles,14.5,3.5,CON,Marietta King,2.5,Aidan Campbell,Barrie Fairbairn,28399,,66.2,,,6.1,Harrish Bisnauthsing,-1.1
,2645,52.2,3888,26.6,2991,3.8,24384,8.3,-12.5,E14000718,Matt Hartley,8.3,6.4,LAB,Ryan Acty,2.1,Abideen Akinoshun,Matthew Pennycook,12438,,63.7,,,5.7,Tom Holder,3.0
,2828,31.6,7497,45.3,1485,1.8,16586,14.3,-13.9,E14000712,Richard Graham,10.7,2.8,CON,Richard Ford,5.4,Jonathan Ingleby,Sophy Gardner,23827,,63.4,,,5.4,Jeremy Hilton,-3.6
,3298,14.5,9266,55.3,1707,2.4,6926,19.4,-14.1,E14000713,Caroline Dinenage,16.3,3.6,CON,Christopher Wood,3.5,Monica Cassidy,Alan Durrant,26364,,65.1,,,6.9,Rob Hylands,-2.4
,2492,62.9,1085,14.7,7281,10.0,31357,2.2,-18.9,E14000720,Amy Gray,2.2,14.6,LAB,Keith Fraser,0.2,Heather Finlay,Diane Abbott,7349,,60.0,,,5.0,Simon de Deney,7.9
,8354,12.1,4774,57.1,2558,4.7,6534,8.8,-23.8,E14000719,Anne Milton,7.0,4.7,CON,Harry Aldridge,3.8,John Pletts,Richard Wilson,30802,,70.5,,,15.5,Kelly-Marie Blundell,7.0
,3055,21.0,6781,54.2,1809,2.3,10219,13.9,-20.2,E14000724,David Davis,13.9,3.7,CON,John Kitchener,3.9,Tim Greene,Edward Hart,26414,,68.5,,,6.3,Carl Minns,5.3
,1629,40.0,5621,39.0,1142,2.6,17506,12.8,-15.4,E14000723,Philip Allott,11.3,2.6,LAB,Liz Phillips,5.0,Gary Scott,Holly Lynch,17078,,62.1,,,3.7,Mohammad Ilyas,2.6
,1030,29.1,10270,42.9,978,1.2,12935,23.1,-12.1,E14000717,Brandon Lewis,18.3,2.2,CON,Alan Grey,-0.2,Harry Webb,Lara Norris,19089,,63.7,,,2.3,James Joyce,-4.1
,905,36.2,7280,43.2,849,1.9,15851,16.6,-12.7,E14000722,James Morris,10.2,1.9,CON,Dean Perks,2.0,John Payne,Stephanie Peacock,18933,,59.1,,,2.1,Peter Tyzack,-0.4
,2224,50.0,2105,36.4,2105,2.9,23981,4.4,-11.3,E14000726,Charlie Dewhirst,3.2,4.4,LAB,Richard Wood,0.0,David Akan,Andy Slaughter,17463,,66.4,,,4.6,Millicent Scott,6.1
,1097,62.8,6333,17.8,1017,0.7,28292,14.1,-11.4,E14000725,Matthew Lloyd,11.1,2.3,LAB,Glyn Redican,-2.4,David Melvin,Derek Twigg,8007,,61.8,,,2.4,Ryan Bate,5.2
,2186,64.4,1818,13.5,5519,8.1,30663,3.8,-17.8,E14000721,Jack Tinley,2.3,11.6,LAB,Angus Small,0.0,Charlotte George,Meg Hillier,6420,,59.5,,,4.6,Ben Mathis,8.7
,1680,39.8,8417,26.3,783,2.3,13414,25.0,-17.4,E14000716,Marc Jones,18.8,2.3,LAB,Victoria Ayling,-4.2,Vicky Dunn,Melanie Onn,8874,,57.7,,,5.0,Steve Beasant,7.1
,7037,15.3,7539,52.7,2177,4.1,8043,14.4,-17.7,E14000728,Edward Garnier,11.7,4.1,CON,Mark Hunt,3.8,Darren Woodiwiss,Sundip Meghani,27675,,67.5,,,13.4,Zuffar Haq,2.6
,1567,47.0,2047,42.2,1310,1.5,21885,4.4,-12.8,E14000732,Hannah David,2.3,2.8,LAB,Mohammad Ali Bhatti,5.4,Rowan Langley,Gareth Thomas,19677,,66.9,,,3.4,Christopher Noyce,3.4
,3039,44.4,1532,42.3,2387,3.0,23977,2.8,-25.6,E14000727,Simon Marcus,2.1,4.4,LAB,Magnus Nielsen,9.6,Rebecca Johnson,Tulip Siddiq,22839,,67.3,,,5.6,Maajid Nawaz,11.6
,1037,40.6,2333,50.3,846,0.1,19911,4.8,-12.2,E14000731,Bob Blackman,2.9,1.7,CON,Aidan Powlesland,5.7,Emma Wallace,Uma Kumaran,24668,,69.0,,,2.1,Ross Barlow,3.1
,904,30.0,7208,48.9,954,2.2,13273,16.3,-11.6,E14000729,Robert Halfon,12.7,2.2,CON,Sam Stopplecamp,4.0,Murray Sackwild,Suzy Stride,21623,,65.1,,,2.0,Geoffrey Seeff,-3.7
,761,35.6,11052,20.9,1341,3.4,14076,28.0,-15.2,E14000733,Richard Royal,21.0,3.4,LAB,Phillip Broughton,-7.2,Michael Holt,Iain Wright,8256,,56.8,,,1.9,Hilary Allen,-6.9
,3576,19.7,8464,51.0,2122,2.5,9548,17.5,-16.2,E14000734,Bernard Jenkin,12.3,4.4,CON,Mark Hughes,4.1,Christopher Flossman,Edward Carlsson Browne,24722,,69.9,,,7.4,Dominic Graham,-0.2
,11782,10.1,5681,52.7,2351,4.4,5409,10.6,-21.7,E14000730,Andrew Jones,8.7,4.4,CON,David Simister,7.0,Shan Oakes,Jan Williams,28153,,69.0,,,22.1,Helen Flynn,3.7
,888,59.6,5388,24.7,794,0.9,26843,12.0,-6.8,E14000737,Pearl Lewis,12.0,1.8,LAB,Cliff Dixon,-4.7,Alick Munro,John McDonnell,11143,,60.2,,,2.0,Satnam Khalsa,4.7
,2402,23.8,7249,52.9,1660,3.3,11825,14.6,-18.0,E14000739,Mike Penning,12.1,3.3,CON,Howard Koch,2.9,Alan Borgars,Tony Breslin,26245,,66.5,,,4.8,Rabi Martins,3.0
,1357,51.3,8565,22.9,,,21772,20.2,-9.7,E14000740,Christopher Pearson,20.2,,LAB,Steve Ashton,-1.5,,Jon Trickett,9694,,58.3,,,3.2,Mary MacQueen,4.6
,2929,15.9,9239,51.7,2352,5.2,7149,20.6,-16.9,E14000736,Alan Mak,14.7,5.2,CON,John Perry,0.6,Tim Dawes,Graham Giles,23159,,63.5,,,6.5,Steve Sollitt,-1.8
,11330,17.5,5283,41.4,1140,2.6,7584,12.2,-22.6,E14000738,William Wragg,7.1,2.6,CON,Darran Palmer,7.8,Graham Reid,Michael Taylor,17882,,68.5,,,26.2,Lisa Smart,5.1
,6205,12.5,6007,58.5,3815,4.4,6917,10.9,-13.9,E14000742,John Howell,7.5,6.9,CON,Chris Jones,2.3,Mark Stevenson,Sam Juthani,32292,,70.6,,,11.2,Sue Cooper,1.6
,1088,41.5,2595,49.0,1015,0.9,20604,5.2,-10.2,E14000741,Matthew Offord,3.2,2.0,CON,Raymond Shamash,6.7,Ben Samuel,Andrew Dismore,24328,,66.5,,,2.2,Alasdair Hill,-0.6
,5002,12.8,7954,52.6,3415,7.2,6042,16.8,-30.5,E14000743,Jesse Norman,13.4,7.2,CON,Nigel Ely,6.3,Diana Toynbee,Anna Coda,24844,,66.8,,,10.6,Lucy Hurds,5.5
,4385,17.9,7534,56.1,2681,4.8,10084,13.4,-18.2,E14000744,Mark Prisk,10.3,4.8,CON,Adrian Baker,2.3,Sophie Christophy,Katherine Chibah,31593,,71.3,,,7.8,Michael Green,4.2
,2777,22.4,6383,59.3,,,11235,12.7,-11.8,E14000745,Oliver Dowden,9.1,,CON,Frank Ward,3.3,,Richard Butler,29696,,67.9,,,5.5,Sophie Bowler,3.7
,1614,35.1,6786,44.5,1951,3.8,17890,13.3,-12.5,E14000735,Amber Rudd,10.5,3.8,CON,Andrew Michael,3.5,Jake Bowers,Sarah Owen,22686,,67.8,,,3.2,Nick Perry,-2.0
,2961,24.9,4302,52.7,2445,5.6,10803,9.9,-23.1,E14000746,Guy Opperman,9.9,5.6,CON,David Nicholson,9.5,Lee Williscroft-Ferris,Liam Carr,22834,,71.5,,,6.8,Jeff Reid,5.9
,2389,35.3,5811,45.0,1811,1.7,17942,11.4,-17.1,E14000748,Andrew Bingham,8.1,3.6,CON,Ian Guiver,4.1,Charlotte Farrell,Caitlin Bisknell,22836,,69.3,,,4.7,Stephen Worrall,3.7
,4484,20.6,4917,56.9,3053,4.0,11433,8.9,-18.6,E14000749,Peter Lilley,5.8,5.5,CON,John Stocker,2.3,Richard Wise,Rachel Burgin,31488,,74.0,,,8.1,Pauline Pearce,7.1
,3555,52.9,2740,21.9,7013,10.1,29062,5.0,-21.4,E14000750,Will Blair,3.9,12.8,LAB,Maxine Spencer,1.5,Natalie Bennett,Keir Starmer,12014,,63.2,,,6.5,Jill Fraser,6.8
,6647,11.4,7969,57.3,2198,2.8,6499,14.0,-20.5,E14000753,Jeremy Quin,8.9,3.9,CON,Roger Arthur,4.6,Darrin Green,Martyn Davis,32627,,72.8,,,11.7,Morwen Millson,3.9
,1501,20.1,13977,49.0,1411,1.5,11103,25.3,-11.2,E14000751,Angela Watkinson,20.0,2.6,CON,Lawrence Webb,-2.5,Melanie Collins,Paul McGeary,27051,,69.6,,,2.7,Jonathan Mitchell,-0.7
,791,55.1,8280,18.5,1095,2.8,21218,21.5,-11.9,E14000754,Stewart Hay,18.8,2.8,LAB,Richard Elvin,-3.0,Alan Robinson,Bridget Phillipson,7105,,56.3,,,2.1,Jim Murray,4.8
,1607,43.1,15627,19.1,1110,2.3,20926,32.2,-19.4,E14000747,Iain Gartside,29.6,2.3,LAB,John Bickley,-8.1,Abi Jackson,Liz McInnes,9268,,60.7,,,3.3,Anthony Smith,3.0
,18359,50.9,1271,9.3,3146,3.2,29417,2.2,-14.7,E14000752,Suhail Rahuja,2.2,5.4,LAB,Clive Morrison,-7.4,Gordon Peters,Catherine West,5347,,72.9,,,31.8,Lynne Featherstone,16.9
,2365,44.9,5948,26.8,2798,2.9,18186,14.7,-18.9,E14000756,Itrat Ali,14.7,6.9,LAB,Rob Butler,-1.0,Andrew Cooper,Barry Sheerman,10841,,62.0,,,5.8,Zulfiqar Ali,6.1
,859,42.1,9154,31.9,1122,1.5,18076,21.3,-9.8,E14000758,Kevin Horkin,17.9,2.6,LAB,Janet Brown,-2.0,Kerry Gormley,Graham Jones,13676,,62.8,,,2.0,Alison Firth,1.1
,4375,18.3,9473,53.0,2178,2.7,10248,16.9,-21.1,E14000757,Jonathan Djanogly,10.9,3.9,CON,Paul Bullen,4.2,Tom MacLennan,Nik Johnson,29652,,67.9,,,7.8,Rod Cantrill,7.3
,1014,64.0,2705,25.9,1506,0.3,33232,5.2,-15.0,E14000760,Christopher Chapman,3.0,2.9,LAB,Amjad Khan,-1.5,Anne Warrington,Mike Gapes,13455,,54.6,,,2.0,Ashburn Holder,14.6
,1130,43.9,4355,42.7,1023,0.9,21463,8.9,-10.4,E14000759,Lee Scott,7.0,2.1,LAB,Philip Hyde,-3.1,David Reynolds,Wes Streeting,20874,,62.6,,,2.3,Richard Clare,9.6
,1861,42.3,3265,39.9,3569,1.7,22082,6.3,-19.0,E14000755,Graham Cox,3.8,6.8,LAB,Kevin Smith,3.2,Christopher Hawtree,Peter Kyle,20846,,71.0,,,3.6,Peter Lambell,9.3
,1400,37.1,5703,44.8,1736,1.9,18061,11.7,-15.4,E14000761,Ben Gummer,8.8,3.6,CON,Maria Vigneau,5.6,Barry Broom,David Ellesmere,21794,,65.4,,,2.9,Chika Akinwale,2.4
,1238,55.7,7583,17.1,1310,3.4,21464,19.7,-15.3,E14000765,Nick Mason,19.7,3.4,LAB,Steve Harrison,-3.6,Dave Herbert,Stephen Hepburn,6584,,60.4,,,3.2,Stan Collins,1.7
,4829,50.9,3375,22.2,3371,6.0,22547,7.6,-23.2,E14000764,Mark Lim,6.0,7.6,LAB,Pete Muswell,2.8,Charlie Kiss,Emily Thornberry,9839,,65.0,,,10.9,Terry Stacy,8.7
,1321,38.1,5662,44.3,1661,3.4,18713,11.5,-12.1,E14000766,Kris Hopkins,8.4,3.4,CON,Paul Latham,2.4,Ros Brown,John Grogan,21766,,71.3,,,2.7,Gareth Epps,2.3
,3984,60.2,1971,17.2,5043,7.2,29659,4.0,-18.6,E14000763,Alex Burghart,2.4,10.2,LAB,Greg Clough,3.0,Caroline Russell,Jeremy Corbyn,8465,,67.1,,,8.1,Julian Gregory,5.8
,5235,12.8,14888,40.7,9404,12.1,8984,21.2,-24.3,E14000762,Andrew Turner,17.7,13.4,CON,Iain McKie,-6.0,Vix Lowthion,Stewart Blackmore,28591,,64.6,,,7.4,David Goodall,1.2
,4913,15.3,5467,58.4,1956,2.8,7472,11.2,-17.6,E14000767,Jeremy Wright,8.7,4.0,CON,Harry Cottam,4.8,Rob Ballantyne,Bally Singh,28474,,74.8,,,10.1,Richard Dickson,1.0
,1962,31.1,1557,52.3,1765,2.9,10838,4.5,-13.9,E14000768,Victoria Borwick,2.3,5.1,CON,Jack Bovill,2.2,Robina Rose,Mohammed Rodwan Abouharb,18199,,56.8,,,5.6,Robin McGhee,5.6
,1490,25.2,7600,51.8,1633,3.5,11877,16.1,-12.7,E14000769,Philip Hollobone,16.1,3.5,CON,Jonathan Bullock,2.7,Rob Reeves,Rhea Keehn,24467,,67.3,,,3.2,Chris McGlynn,-4.8
,3175,52.8,5762,15.0,2066,4.4,18661,16.3,-28.3,E14000772,Dehenna Davison,12.2,5.8,LAB,Sergi Singh,1.9,Martin Deane,Diana Johnson,5306,,55.5,,,9.0,Mike Ross,13.6
